    week              partner              dance                                           song      result
0      1        mark kanemura       contemporary                beautiful - meshell ndegeocello        safe
1      2        mark kanemura    argentine tango                   mi confesión - gotan project        safe
2      3        mark kanemura  lyrical hip - hop                    bleeding love - leona lewis        safe
3      4        mark kanemura               jazz                      kiss kiss - holly valance        safe
4      4        mark kanemura            foxtrot                      it 's my life - paul anka        safe
5      5        mark kanemura              salsa                             fuego - joe bataan        safe
6      5        mark kanemura           broadway            i'm a woman from smokey joe 's cafe        safe
7      6        gev manoukian       contemporary              these arms of mine - otis redding        safe
8      6        gev manoukian               jive  the house is rockin' - brian setzer orchestra        safe
9      6                 solo               solo                        pon de replay - rihanna        safe
10     7         joshua allen    argentine tango                a los amigos from forever tango        safe
11     7         joshua allen              disco              everlasting love - gloria estefan        safe
12     7                 solo               solo                          damaged - danity kane        safe
13     8  stephen twitch boss              mambo           ahora me toca a mi - víctor manuelle  eliminated
14     8  stephen twitch boss          hip - hop               control - vitamin string quartet  eliminated
15     8                 solo               solo            when i grow up - the pussycat dolls  eliminated
16     8    results show solo  results show solo           the girl 's gone wild - travis tritt  eliminated
