    rank               celebrity          professional partner  season  average
0      1        maciej jachowski                   janja lesar      12     32.0
1      2              stachursky      dominika kublik - marzec       6     29.0
2      3  przemysław miarczyński  magdalena soszyńska - michno      11     28.5
3      4           piotr adamski              blanka winiarska       2     28.0
4      5           paweł stasiak                   janja lesar       8     27.0
5      5      marek kościkiewicz            agnieszka pomorska      10     27.0
6      6      wojciech majchrzak  magdalena soszyńska - michno       5     25.5
7      7         michał milowicz                  izabela mika       4     25.0
8      7           michał lesień               katarzyna krupa       7     25.0
9      8         robert kudelski            agnieszka pomorska       1     24.0
10     9             paolo cozza                 kamila drezno       3     18.5
11    10       zbigniew urbański           izabela janachowska      13     13.0
