     rank          nation  gold  silver  bronze  total
0       1           china     8       0       0      8
1       2          russia     2       3       0      5
2       3       hong kong     2       1       1      4
3       4           macau     1       3       1      5
4       5            iran     1       1       2      4
5       5     philippines     1       1       2      4
6       7        malaysia     0       2       3      5
7       8         vietnam     0       1       3      4
8       9           japan     0       1       2      3
9      10           italy     0       1       0      1
10     10  chinese taipei     0       1       0      1
11     12           egypt     0       0       2      2
12     13          brazil     0       0       1      1
13     13       indonesia     0       0       1      1
14     13   great britain     0       0       1      1
15     13     south korea     0       0       1      1
16  total           total    15      15      20     50
