  season  races  wins  podiums  poles  fastest laps
0   2005     16     0        0      0             0
1   2006     16     0        0      0             0
2   2007     17     0        0      0             0
3   2008     17     0        0      0             1
4   2009     16     0        3      1             2
5   2010     17     0        2      1             2
6   2011     17     2        6      1             2
7   2012     17     5       15      7             4
8   2013     16     0        0      0             0
9  total    149     7       26     10            11
