    rank                              location      2008      2009      2010       2011      2012
0      1      lake buena vista , florida , usa  17063000  17233000  16972000   17142000  17536000
1      2            anaheim , california , usa  14721000  15900000  15980000   16140000  15963000
2      3                         tokyo , japan  14293000  13646000  14452000   13996000  14847000
3      4                         tokyo , japan  12498000  12004000  12663000   11930000  12656000
4      5          marne - la - vallãe , france  12688000  12740000  10500000   10990000  11200000
5      6      lake buena vista , florida , usa  10935000  10990000  10825000   10825000  11063000
6      7      lake buena vista , florida , usa   9540000   9590000   9686000    9783000   9998000
7      8      lake buena vista , florida , usa   9608000   9700000   9603000    9699000   9912000
8      9                         osaka , japan   8300000   8000000   8160000    8500000   9700000
9     10               orlando , florida , usa   5297000   4627000   5949000    7674000   7981000
10    11            anaheim , california , usa   5566000   6095000   6287000    6341000   7775000
11    12                             hong kong   5030000   4800000   5404000    6955000   7436000
12    13  yongin , gyeonggi - do , south korea   6600000   6169000   6884000    6570000   6853000
13    14                             hong kong   4500000   4600000   5200000    5900000   6700000
14    15                   seoul , south korea   4236000   4261000   5551000    5780000   6383000
15    16               orlando , florida , usa   6231000   5530000   5925000    6044000   6195000
16    17     universal city , california , usa   4583000   4308000   5040000    5141000   5912000
17    18                        kuwana , japan   3734000   4700000   4465000    5820000   5850000
18    19               orlando , florida , usa   5926000   5800000   5100000    5202000   5358000
19    20          marne - la - vallãe , france   2612000   2655000   4500000    4710000   4800000
20    21                      shenzhen , china   4000000   4250000   4250000    4600000   4799000
21    22          san diego , california , usa   4174000   4200000   3800000    4294000   4444000
22    23                 tampa , florida , usa   4410000   4100000   4200000    4284000   4348000
23    24             kaatsheuvel , netherlands   3200000   4000000   4000000    4125000   4200000
24    25                      shenzhen , china     n / a     n / a     n / a  3890 , 00   4196000
25    26                      yokohama , japan   4555000   4500000   4023000    3820000   4050000
26    27                  copenhagen , denmark   3972000   3870000   3696000    3963000   4033000
