                tournament                    2006                    2007                    2008                    2009                    2010                    2011                    2012
0   grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments  grand slam tournaments
1          australian open                       a                       a                       a                      2r                      1r                      1r                      1r
2              french open                      2r                       a                      4r                      3r                      1r                      2r                      2r
3                wimbledon                       a                       a                      2r                      1r                      3r                      1r                      2r
4                  us open                       a                       a                      2r                      1r                      2r                       a                      3r
5               win - loss                   1 - 1                   0 - 0                   5 - 3                   3 - 4                   3 - 4                   1 - 3                   4 - 4
6       atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series      atp masters series
7     indian wells masters                       a                       a                       a                      3r                      2r                      1r                      1r
8            miami masters                       a                       a                       a                      1r                      3r                      1r                      1r
9      monte carlo masters                       a                       a                       a                      1r                      1r                      1r                       a
10            rome masters                       a                       a                       a                      1r                      2r                       a                       a
11          madrid masters                       a                       a                       a                      2r                      1r                       a                       a
12          canada masters                       a                       a                       a                      2r                      qf                      1r                      3r
13      cincinnati masters                       a                       a                       a                      3r                      2r                      q1                      qf
14        shanghai masters                     nms                     nms                     nms                      1r                      3r                       a                      1r
15           paris masters                       a                       a                      1r                      1r                       a                      2r                      2r
16              win - loss                   0 - 0                   0 - 0                   0 - 1                   6 - 9                  10 - 8                   1 - 5                   6 - 6
17       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics       career statistics
18         titles - finals                   0 - 0                   0 - 0                   0 - 0                   1 - 2                   0 - 0                   0 - 0                   0 - 0
19        year end ranking                     261                     192                      75                      32                      45                      99                      32
