   rank         nation  gold  silver  bronze  total
0     1    netherlands     9      12       5     26
1     2         france     9       5       2     16
2     3        belgium     6       6       4     16
3     4          italy     5       6       9     20
4     5        germany     5       1       6     12
5     6  great britain     4       3       3     10
6     7       russia +     3       7      11     21
7   = 8      lithuania     3       2       2      7
8   = 8         sweden     3       2       2      7
9    10  united states     2       5       3     10
10   11    switzerland     1       1       0      3
11   12     luxembourg     1       0       1      2
12   12         norway     1       0       1      2
13   14        belarus     1       0       0      1
14   15      australia     0       3       1      4
15   16         canada     0       0       2      2
16   17          spain     0       0       1      1
