   position                  team  played  wins  draws  losses  scored  conceded  points
0         1         cerro porteño      18    11      3       4      34        20      36
1         2              libertad      18     9      5       4      30        23      32
2         3               olimpia      18     9      4       5      29        20      31
3         4          3 de febrero      18     8      4       6      31        25      28
4         5              nacional      18     7      6       5      24        20      27
5         6      sportivo luqueño      18     6      7       5      27        26      25
6         7               tacuary      18     6      6       6      26        31      24
7         8               guaraní      18     6      2      10      18        25      20
8         9         12 de octubre      18     2      8       8      18        33      14
9        10  general caballero zc      18     3      1      14      15        29      10
