                  team  played  highest  lowest   total  average
0           wellington       7    15242    6260   80546    11507
1           canterbury       7    10065    7000   58565     8366
2        bay of plenty       6    13500    6300   51900     8650
3             auckland       5    16000    6540   47040     9408
4              waikato       5    12000    7100   45600     9120
5         hawke 's bay       6    10866    4000   41893     6982
6            southland       5     9000    7000   37482     7496
7             manawatu       5     8000    4000   31000     6200
8            northland       5    14200    3000   31600     6320
9             taranaki       5     6500    4000   28000     5600
10              tasman       5     6700    2500   22800     4560
11       north harbour       5     5700    2500   19400     3880
12               otago       5     5000    2000   18500     3700
13  counties - manukau       5     6500     800   16850     3370
14               total      76    16000     800  530226     6977
