    school year             class a                    class aa           class aaa            class aaaa                       class aaaaa
0     1994 - 95              menard                 van alstyne         cameron yoe         wichita falls                           weslaco
1     1995 - 96                 era                     coahoma       colorado city            livingston                       duncanville
2     1996 - 97       sulphur bluff                      marion       colorado city                snyder                       duncanville
3     1997 - 98           westbrook                    edgewood            perryton  san angelo lake view               flower mound marcus
4     1998 - 99             graford                     lindsay  hamshire - fannett             brownwood                           weslaco
5   1999 - 2000         garden city                       keene            giddings           friendswood  college station a&m consolidated
6     2000 - 01             granger                    edgewood   midland greenwood           friendswood  college station a&m consolidated
7     2001 - 02           lazbuddie                    edgewood            giddings           friendswood                    pasadena dobie
8     2002 - 03         rocksprings              rosebud - lott            pearsall       harlingen south                 san antonio clark
9     2003 - 04           lazbuddie                        wall  hamshire - fannett           friendswood                             klein
10    2004 - 05                loop  mount pleasant chapel hill               llano               sherman  college station a&m consolidated
11    2005 - 06          wellington                 centerville  hamshire - fannett             brownwood                    abilene cooper
12    2006 - 07  springlake - earth                    crawford           princeton           friendswood  college station a&m consolidated
13    2007 - 08  springlake - earth                   grandview  hamshire - fannett               sherman                 mission sharyland
