    week              opponent     result                          game site  attendance
0      1   pittsburgh steelers  w 31 - 28  oakland - alameda county coliseum       51371
1      2    kansas city chiefs  w 24 - 21                  arrowhead stadium       60884
2      3        houston oilers  w 14 - 13                  houston astrodome       42338
3      4  new england patriots  l 17 - 48                   schaefer stadium       61068
4      5    san diego chargers  w 27 - 17                  san diego stadium       50523
5      6        denver broncos  w 17 - 10                  mile high stadium       63431
6      7     green bay packers  w 18 - 14  oakland - alameda county coliseum       52232
7      8        denver broncos   w 19 - 6  oakland - alameda county coliseum       52169
8      9         chicago bears  w 28 - 27                  soldier field (i)       53585
9     10    kansas city chiefs  w 21 - 10  oakland - alameda county coliseum       48259
10    11   philadelphia eagles   w 26 - 7                   veterans stadium       65990
11    12  tampa bay buccaneers  w 49 - 16  oakland - alameda county coliseum       49590
12    13    cincinnati bengals  w 35 - 20  oakland - alameda county coliseum       52430
13    14    san diego chargers   w 24 - 0  oakland - alameda county coliseum       50102
