              municipality  no of barangays  area coordinator  population (2010)  pop density (per km square)
0                  bangued               31            105.70              51865                        415.7
1                  boliney                8            216.92               4063                         18.7
2                    bucay               21            107.17              17127                        167.7
3                   bucloc                4             63.77               2176                         34.1
4                daguioman                4            114.37               1715                         15.0
5                  danglas                7            156.02               4734                         30.3
6                  dolores               15             47.45              11499                        242.3
7                   la paz               12             51.41              14882                        289.5
8                    lacub                6            295.30               2977                         10.1
9              lagangilang               17            101.44              13824                        136.3
10                 lagayan                6            215.97               4477                         20.7
11                langiden                6            116.29               3170                         27.3
12  licuan - baay (licuan)               11            256.42               4864                         19.0
13                    luba                8            148.27               6391                         43.1
14               malibcong               12            283.17               3807                         13.4
15                  manabo               11            110.95              10756                         96.9
16             peã±arrubia                9             38.29               6544                        170.9
17                 pidigan               15             49.15              11528                        234.5
18                   pilar               19             66.10               9908                        149.9
19              sallapadan                9            128.62               5985                         46.5
20              san isidro                9             48.07               4888                        101.7
21                san juan               19             64.08              10546                        164.6
22             san quintin                6             66.59               5233                         78.6
23                   tayum               11             61.14              13940                        228.0
24                   tineg               10            744.80               4668                          6.3
25                    tubo               10            409.87               5719                         14.0
