   abbr                  canton       capital  density (per km square)  no munic                  s official language
0    zh                  zurich        zurich                      701       171                               german
1    be                    bern          bern                      158       383                      german , french
2    lu                 lucerne       lucerne                      233        87                               german
3    ur                     uri       altdorf                       33        20                               german
4    sz                  schwyz        schwyz                      143        30                               german
5    ow                obwalden        sarnen                       66         7                               german
6    nw               nidwalden         stans                      138        11                               german
7    gl                  glarus        glarus                       51         3                               german
8    zg                     zug           zug                      416        11                               german
9    fr                fribourg      fribourg                      141       167                      french , german
10   so               solothurn     solothurn                      308       122                               german
11   bs           basel - stadt         basel                     5072         3                               german
12   bl      basel - landschaft       liestal                      502        86                               german
13   sh            schaffhausen  schaffhausen                      246        27                               german
14   ar  appenzell ausserrhoden       herisau                      220        20                               german
15   ai   appenzell innerrhoden     appenzell                       87         6                               german
16   sg               st gallen     st gallen                      222        85                               german
17   gr              graubünden          chur                       26       180           german , romansh , italian
18   ag                  aargau         aarau                      388       220                               german
19   tg                 thurgau    frauenfeld                      229        80                               german
20   ti                  ticino    bellinzona                      110       157                              italian
21   vd                    vaud      lausanne                      188       339                               french
22   vs                  valais          sion                       53       143                      french , german
23   ne                neuchtel      neuchtel                      206        53                               french
24   ge                  geneva        geneva                     1442        45                               french
25   ju                    jura      delémont                       82        64                               french
26   ch             switzerland          bern                      174      2596  german , french , italian , romansh
