    pick           player    position     nationality               nhl team                      college / junior / club team
0    189       steve hurt  right wing   united states    pittsburgh penguins             hill - murray high school (ushs - mn)
1    190      mike peluso     defence   united states      new jersey devils                  greenway high school (ushs - mn)
2    191    jeff crossman      centre          canada      los angeles kings                western michigan university (ccha)
3    192    david buckley     defence   united states    toronto maple leafs              trinity - pawling school (ushs - ny)
4    193      brent regan   left wing          canada       hartford whalers                         st albert saints ( ajhl )
5    194   joakim persson   left wing          sweden    chicago black hawks                               brynã¤s if (sweden)
6    195         jay rose     defence   united states      detroit red wings                new preparatory school (ushs - ma)
7    196       tom tilley     defence          canada         st louis blues                        orillia travelways (opjhl)
8    197      rick forest   left wing          canada          winnipeg jets                      melville millionaires (sjhl)
9    198        ed lowney  right wing   united states      vancouver canucks                          boston university (ecac)
10   199       ron annear     defence          canada     montreal canadiens  american international college (atlantic hockey)
11   200       petr rucka      centre  czechoslovakia         calgary flames                  hc sparta praha (czechoslovakia)
12   201      michael orn      centre   united states  minnesota north stars                stillwater high school (ushs - mn)
13   202     kevin miller      centre   united states       new york rangers                             redford royals (nahl)
14   203      ken quinney  right wing          canada       quebec nordiques                           calgary wranglers (whl)
15   204  daryn fersovich      centre          canada    philadelphia flyers                           st albert saints (ajhl)
16   205   paul cavallini     defence          canada    washington capitals                     henry carr crusaders (metjhl)
17   206   brian mckinnon      centre          canada         buffalo sabres                                ottawa 67 's (ohl)
18   207      j d urbanic   left wing          canada          boston bruins                           windsor spitfires (ohl)
19   208      david volek  right wing  czechoslovakia     new york islanders                  hc slavia praha (czechoslovakia)
20   209      joel curtis   left wing          canada        edmonton oilers                             oshawa generals (ohl)
