    stage                   winner general classification points classification young rider classification team classification
0       p            thierry marie          thierry marie         thierry marie        jesus blanco villar           système u
1       1           pol verschuere            alex stieda        pol verschuere                alex stieda           système u
2       2       système u - gitane          thierry marie     eric vanderaerden                 eric boyer           système u
3       3            davis phinney          thierry marie     eric vanderaerden                 eric boyer           système u
4       4     pello ruiz cabestany       dominique gaigne     eric vanderaerden                 eric boyer           système u
5       5      johan van der velde    johan van der velde     eric vanderaerden                 eric boyer           système u
6       6           guido bontempi    johan van der velde     eric vanderaerden                 eric boyer           système u
7       7             ludo peeters      jørgen v pedersen     eric vanderaerden                 eric boyer  carrera - inoxpran
8       8          eddy planckaert      jørgen v pedersen     eric vanderaerden                 eric boyer  carrera - inoxpran
9       9          bernard hinault      jørgen v pedersen     eric vanderaerden            bruno cornillet  carrera - inoxpran
10     10           angel sarrapio      jørgen v pedersen     eric vanderaerden            bruno cornillet  carrera - inoxpran
11     11            rudy dhaenens      jørgen v pedersen     eric vanderaerden            bruno cornillet  carrera - inoxpran
12     12            pedro delgado        bernard hinault     eric vanderaerden    jean - françois bernard       la vie claire
13     13              greg lemond        bernard hinault     eric vanderaerden            andrew hampsten       la vie claire
14     14           niki rüttimann        bernard hinault     eric vanderaerden            andrew hampsten       la vie claire
15     15              frank hoste        bernard hinault     eric vanderaerden            andrew hampsten       la vie claire
16     16  jean - françois bernard        bernard hinault     eric vanderaerden            andrew hampsten       la vie claire
17     17           eduardo chozas            greg lemond     eric vanderaerden            andrew hampsten       la vie claire
18     18          bernard hinault            greg lemond     eric vanderaerden            andrew hampsten       la vie claire
19     19           julián gorospe            greg lemond     eric vanderaerden            andrew hampsten       la vie claire
20     20          bernard hinault            greg lemond     eric vanderaerden            andrew hampsten       la vie claire
21     21           erich maechler            greg lemond     eric vanderaerden            andrew hampsten       la vie claire
22     22           guido bontempi            greg lemond     eric vanderaerden            andrew hampsten       la vie claire
23     23           guido bontempi            greg lemond     eric vanderaerden            andrew hampsten       la vie claire
24  final                    final            greg lemond     eric vanderaerden            andrew hampsten       la vie claire
