    start     qual  rank  finish  laps
0      42  117.649     6      35    48
1       4  116.044     7       2   200
2      10  116.470     9      20   103
3      30  113.890    21       4   200
4       8  118.540    19      18   127
5       9  119.796    20      13   165
6       8  124.896    13       8   200
7       3  125.624     3       3   200
8       1  128.691     1      26    60
9      17  121.106    25       1   128
10      9  124.065    10      23    40
11      3  120.040    20       1   200
12      3  129.129     4       1   200
13     10  127.759    19      13   192
14      3  132.319     6       3   137
15      5  133.422    18      14   126
