                player  tackles  asst  totaltk  sack  yards  fumr
0      london fletcher       96    37      133   0.5      0     1
1       rocky mcintosh       61    27       88   2.0      4     0
2         chris horton       57    19       76   1.0     13     1
3         laron landry       49    16       65   0.5     18     0
4        carlos rogers       49     7       56   0.0     73     0
5           fred smoot       43    11       54   0.0      0     0
6            hb blades       41    19       60   0.0      0     0
7        shawn springs       31     5       36   1.0      0     0
8    marcus washington       25    19       44   0.0      0     0
9         andre carter       23    14       37   4.0      0     0
10        jason taylor       21     8       29   3.5      0     0
11      demetric evans       20    13       33   3.5      0     0
12       deangelo hall       20     5       25   0.0      6     0
13      kedric golston       19     9       28   2.0      0     0
14          mike green       16     4       20   0.0      0     0
15   cornelius griffin       16    11       27   1.0      0     0
16  anthony montgomery       15     8       23   2.0      0     0
17        reed doughty       15     4       19   0.0      0     0
18   lorenzo alexander       11     6       17   2.0      0     0
19        mike sellers       11     2       13   0.0      0     0
20        kareem moore       11     6       17   0.0      0     0
21      leigh torrence       11     5       16   0.0      0     0
22      khary campbell       11     2       13   0.0      0     0
23        james thrash       10     2       12   0.0      0     0
24        chris wilson        8     6       14   1.0      0     0
25     rock cartwright        6     3        9   0.0      0     0
26      alfred fincher        4     2        6   0.0      0     0
27        justin tryon        4     0        4   0.0      0     0
28       shaun suisham        3     0        3   0.0      0     0
29        devin thomas        3     3        6   0.0      0     0
30      clinton portis        3     0        3   0.0      0     0
31          todd yoder        2     1        3   0.0      0     0
32   antwaan randle el        2     0        2   0.0      0     0
33        santana moss        2     0        2   0.0      0     0
34      ryan boschetti        2     0        2   0.0      0     0
35         rob jackson        1     0        1   0.0      0     0
36        casey rabach        1     0        1   0.0      0     0
37        ladell betts        1     0        1   0.0      0     0
38      ethan albright        1     0        1   0.0      0     0
39      jason campbell        1     0        1   0.0      0     0
40        chris cooley        1     0        1   0.0      0     0
41       chris samuels        1     0        1   0.0      0     0
42       stephon heyer        1     0        1   0.0      0     0
