    episode number       air date            event 1            event 2            event 3      event 4
0                1  30 march 2008           gauntlet               duel            pyramid     pendulum
1                2   6 april 2008        hit and run           the wall          sumo ball      pyramid
2                3  13 april 2008         hang tough         atlasphere  suspension bridge      vertigo
3                4  20 april 2008           pendulum           gauntlet         hang tough    powerball
4                5  27 april 2008               duel            vertigo            pyramid  hit and run
5                6     4 may 2008           gauntlet        hit and run          sumo ball     the wall
6                7    11 may 2008           gauntlet               duel           pendulum      pyramid
7                8    18 may 2008  suspension bridge          powerball         hang tough   atlasphere
8                9    25 may 2008           pendulum           whiplash           gauntlet     the wall
9               10    1 june 2008         atlasphere            vertigo  suspension bridge      pyramid
10              11    8 june 2008           gauntlet         hang tough          powerball    sumo ball
11              12   15 june 2008        hit and run           the wall               duel      pyramid
12              13   22 june 2008            vertigo  suspension bridge          powerball     the wall
13              14   29 june 2008           pendulum           gauntlet               duel     whiplash
