            tournament                1998                1999                2000                2001                2002                2003                2004                2005                2006                2007                2008                2009                2010                2011
0          grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams         grand slams
1      australian open                   a                   a                   a                   a                   a                   a                   a                   a                  1r                  3r                  1r                  sf                  3r                  qf
2          french open                   a                   a                   a                   a                   a                   a                   a                   a                  2r                  3r                   a                  2r                  qf                  1r
3            wimbledon                   a                   a                   a                   a                   a                   a                   a                   a                  2r                   a                  1r                  qf                  1r                   a
4              us open                   a                   a                   a                   a                   a                   a                   a                   a                  1r                   a                   a                  1r                  qf                   a
5           win - loss               0 - 0               0 - 0               0 - 0               0 - 0               0 - 0               0 - 0               0 - 0               0 - 0               2 - 4               4 - 2               0 - 2               8 - 4               8 - 4               3 - 2
6   atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series  atp masters series
7         indian wells                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                  2r                   a                  2r
8                miami                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                  1r                  sf
9          monte carlo                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                  2r                  qf                  qf
10                rome                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                  sf                  qf
11              madrid                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                  qf                  2r
12              canada                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                  qf                  2r                   a
13          cincinnati                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                  sf                  sf                  1r
14            shanghai            not held            not held            not held            not held            not held            not held            not held            not held            not held            not held            not held                  qf                  sf                  2r
15               paris                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                  1r                  qf                  qf
16             hamburg                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                   a                 nm1                 nm1                 nm1
17          win - loss               0 - 0               0 - 0               0 - 0               0 - 0               0 - 0               0 - 0               0 - 0               0 - 0               0 - 0               0 - 0               0 - 0               5 - 6               9 - 8               8 - 8
18    year end ranking                 793                 828                 264                 233                 169                 463                 213                 153                  40                  48                  69                  13                  11                  17
