                   name   -          position  height  weight        year                                    former school              hometown
0       ron anderson jr   1           forward   6 - 8     255   rs junior                   kansas state / mccallie school   upper marlboro , md
1          mike burwell  23             guard   6 - 6     210    freshman        south kent school / cardinal mccarrick hs   east brunswick , nj
2        anthony crater  10             guard   6 - 1     170   sophomore         ohio state university / brewster academy            flint , mi
3            bj daniels   2             guard   6 - 1     212   sophomore                                       lincoln hs      tallahassee , fl
4         jordan dumars   4             guard   6 - 5     225    freshman                       detroit country day school          detroit , mi
5   toarlyn fitzpatrick  32           forward   6 - 8     230    freshman                                          king hs            tampa , fl
6    augustus gilchrist  24  forward / center  6 - 10     245   sophomore                               maryland / academy          clinton , md
7          chris howard   3             guard   6 - 3     200      senior                                      friendly hs  fort washington , md
8       dominique jones  20             guard   6 - 4     215      junior                                    lake wales hs       lake wales , fl
9           ryan kardok  13             guard   6 - 3     188      senior  broward community college / stoneman douglas hs         parkland , fl
10        justin leemow   5             guard   6 - 1     180  somphomore                        mt zion christian academy         brooklyn , ny
11          mike mercer  33             guard   6 - 5     195      senior                      georgia / south gwinnett hs       snellville , ga
12        shaun noriega  22             guard   6 - 4     195    freshman                                    north port hs       north port , fl
