    pick              player    position     nationality                             nhl team                    college / junior / club team
0     27           marc moro     defence          canada                      ottawa senators                       kingston frontenacs (ohl)
1     28          jan hlavac   left wing  czech republic                   new york islanders              hc sparta praha ( czech republic )
2     29     brian wesenberg  right wing          canada              mighty ducks of anaheim                              guelph storm (ohl)
3     30         mike mcbain     defence          canada                  tampa bay lightning                           red deer rebels (whl)
4     31     georges laraque  right wing          canada                      edmonton oilers                       saint - jean lynx (qmjhl)
5     32      marc chouinard      centre          canada                        winnipeg jets                       beauport harfangs (qmjhl)
6     33      donald maclean      centre          canada                    los angeles kings                       beauport harfangs (qmjhl)
7     34          jason doig     defence          canada        winnipeg jets (from montreal)            laval titan collège français (qmjhl)
8     35      sergei fedotov     defence          russia                     hartford whalers                       hc dynamo moscow (russia)
9     36     aaron macdonald  goaltender          canada                     florida panthers                     swift current broncos (whl)
10    37        patrick cote   left wing          canada                         dallas stars                       beauport harfangs (qmjhl)
11    38          peter roed      centre   united states                      san jose sharks  white bear lake high school (ushs - minnesota)
12    39      christian dube      centre          canada                     new york rangers                      sherbrooke faucons (qmjhl)
13    40    chris mcallister   left wing          canada                    vancouver canucks                          saskatoon blades (whl)
14    41           d j smith     defence          canada    new york islanders (from toronto)                         windsor spitfires (ohl)
15    42        mark dutiame   left wing          canada                       buffalo sabres                       brandon wheat kings (whl)
16    43          dwayne hay   left wing          canada                  washington capitals                              guelph storm (ohl)
17    44      nathan perrott  right wing          canada                    new jersey devils                           oshawa generals (ohl)
18    45  christian laflamme     defence          canada                   chicago blackhawks                       beauport harfangs (qmjhl)
19    46       pavel smirnov      centre          russia                       calgary flames                             molot perm (russia)
20    47      paxton schafer  goaltender          canada                        boston bruins                       medicine hat tigers (whl)
21    48         shane kenny     defence          canada                  philadelphia flyers                        owen sound platers (ohl)
22    49        jochen hecht      centre         germany                       st louis blues                       mannheim eagles (germany)
23    50          pavel rosa  right wing  czech republic  los angeles kings (from pittsburgh)                    hc litvínov (czech republic)
24    51        nic beaudoin   left wing          canada                   colorado avalanche                      detroit jr red wings (ohl)
