    pick              player    position    nationality               nhl team             college / junior / club team
0    143  christian duperron     defence         canada       hartford whalers            chicoutimi sagueneens (qmjhl)
1    144         jamie falle  goaltender         canada       hartford whalers               clarkson university (ecac)
2    145  viacheslav fetisov     defence   soviet union      new jersey devils                       moscow cska (ussr)
3    146          craig butz     defence         canada      detroit red wings                      kelowna wings (whl)
4    147         ken hammond     defence         canada      los angeles kings  rensselaer polytechnic institute (ecac)
5    148         paul bifano   left wing         canada    toronto maple leafs                burnaby bluehawks (bcjhl)
6    149         ron pesetti     defence         canada          winnipeg jets       western michigan university (ccha)
7    150         john labatt      centre  united states      vancouver canucks       minnetonka high school (ushs - mn)
8    151     chris macdonald     defence         canada         calgary flames       western michigan university (ccha)
9    152       tommy albelin     defence         sweden       quebec nordiques                  djurgardens if (sweden)
10   153         pete marcov   left wing         canada       new york rangers                  welland cougars (ghjhl)
11   154         don mcsween     defence  united states         buffalo sabres                   redford royals (najhl)
12   155        marty abrams  goaltender         canada    washington capitals            pembroke lumber kings (cjahl)
13   156           don biggs      centre         canada  minnesota north stars                    oshawa generals (ohl)
14   157          dale henry   left wing         canada     new york islanders                   saskatoon blades (whl)
15   158          rob bryden   left wing         canada     montreal canadiens            henry carr crusaders (metjhl)
16   159        kent paynter     defence         canada    chicago black hawks                  kitchener rangers (ohl)
17   160           ralph vos  goaltender         canada        edmonton oilers                abbotsford flyers (bcjhl)
18   161        pelle eklund      centre         sweden    philadelphia flyers                           solna (sweden)
19   162    francois olivier   left wing         canada          boston bruins                st - jean castors (qmjhl)
