     rank          nation  gold  silver  bronze  total
0       1    soviet union     8       3       5     16
1       2    east germany     7       3       1     11
2       3         hungary     3       6       2     11
3       4          poland     0       4       2      6
4       5          france     0       2       2      4
5       6    west germany     0       1       2      3
6       7        bulgaria     0       0       3      3
7       8         denmark     2       0       0      2
8       9  czechoslovakia     1       0       1      2
9      10  united kingdom     0       1       1      2
10     11       australia     1       0       0      1
11     12          canada     0       1       0      1
12     13         romania     0       1       0      1
13     14        portugal     0       0       1      1
14     15          sweden     0       0       1      1
15     16   united states     0       0       1      1
16  total           total    22      22      22     66
