    year  start     qual  rank  finish  laps
0   1930     15   97.360    23      13   161
1   1931     15  106.185    25      10   200
2   1932     29  111.053    23      21   125
3   1933     32  112.025    23      20   163
4   1934     32  109.252    29      33    11
5   1935     17  113.552    24      10   200
6   1936      3  117.675     3       5   200
7   1937     13  119.213    13      30    36
8   1938      5  121.898     9       3   200
9   1939      5  126.318     8      21   109
10  1940     27  121.392    27      17   189
11  1941      9  121.540    23       6   200
12  1946     17  124.649     8      18    64
13  1948     19  127.249     8      20   108
14  1951     28  135.798     3      25    56
15  1952     27  139.034     1      30    41
