    season            driver          co - driver                team             tuner governing body
0     2012  amittrajit ghosh          ashwin naik                rrpm            brajan          fmsci
1     2011       gaurav gill          musa sherif                 mrf            janand          fmsci
2     2010       naren kumar          d ram kumar  red rooster racing   n leelakrishnan          fmsci
3     2009       gaurav gill          musa sherif            team mrf            janand          fmsci
4     2008    vikram mathias           pvs murthy  red rooster racing   n leelakrishnan            mai
5     2007       gaurav gill          musa sherif            team mrf            janand            mai
6     2006       naren kumar          d ram kumar       jk rally team   n leelakrishnan            mai
7     2005       naren kumar          d ram kumar       jk rally team   n leelakrishnan            mai
8     2004    vikram mathias         sujith kumar            team mrf   n leelakrishnan            mai
9     2003       naren kumar          d ram kumar            team mrf   n leelakrishnan            mai
10    2002       naren kumar          d ram kumar            team mrf   n leelakrishnan            mai
11    2001   n leelakrishnan         farooq ahmed            team mrf   n leelakrishnan            mai
12    2000       naren kumar          d ram kumar            team mrf   n leelakrishnan            mai
13    1999       naren kumar         farooq ahmed            team mrf   n leelakrishnan          fmsci
14    1998   n leelakrishnan         farooq ahmed            team mrf   n leelakrishnan          fmsci
15    1997        hari singh  gurinder singh mann       jk rally team              wsrf          fmsci
16    1996        hari singh  gurinder singh mann       jk rally team        pnr satish          fmsci
17    1995        hari singh  gurinder singh mann       jk rally team      skarivardhan          fmsci
18    1994        hari singh  gurinder singh mann       jk rally team      skarivardhan          fmsci
19    1993   n leelakrishnan          n mahindran            team mrf   n leelakrishnan          fmsci
20    1992   n leelakrishnan          n mahindran            team mrf   n leelakrishnan          fmsci
21    1991   n leelakrishnan          n mahindran            team mrf   n leelakrishnan          fmsci
22    1990   n leelakrishnan         c v jaykumar            team mrf   n leelakrishnan          fmsci
23    1989     farad bathena            raj bagri            team mrf            janand          fmsci
24    1988     farad bathena            raj bagri            team mrf  mohinder lalwani          fmsci
