     rank          nation  gold  silver  bronze  total
0       1         germany     3       5       4     12
1       2         hungary     6       1       4     11
2       3          poland     3       4       3     10
3       4           spain     2       2       3      7
4       5          russia     3       2       1      6
5       6          canada     0       3       2      5
6       7         romania     1       1       2      4
7       8        slovakia     3       0       0      3
8       9            cuba     2       1       0      3
9      10        bulgaria     0       1       2      3
10     11          norway     1       1       0      2
11     12       lithuania     1       0       1      2
12     13  czech republic     0       2       0      2
13     14         belarus     0       1       1      2
14     15      uzbekistan     0       1       1      2
15     16           italy     0       0       2      2
16     17       australia     1       0       0      1
17     18          sweden     1       0       0      1
18     19       argentina     0       1       0      1
19     20           china     0       1       0      1
20     21         ukraine     0       1       0      1
21     22          israel     0       0       1      1
22  total           total    27      27      27     81
