     res  record                   opponent                           method                               event  round                 location
0    win  15 - 9              jung hwan cha              submission (armbar)               road fc 7 - recharged      1      seoul , south korea
1   loss  14 - 9               tommy depret              submission (armbar)                     united glory 13      1      charleroi , belgium
2    win  14 - 8                 luis ramos             decision (unanimous)                     united glory 12      3  amsterdam , netherlands
3    win  13 - 8               jorge patino             decision (unanimous)    shine fights 2: att vs the world      3  florida , united states
4   loss  12 - 8                 ryo chonan                 decision (split)                              ufc 88      3  atlanta , united states
5   loss  12 - 7                kevin burns      submission (triangle choke)                              ufc 85      2         london , england
6    win  12 - 6               tony desouza                    tko (punches)                              ufc 79      2   nevada , united states
7   loss  11 - 6                  jon fitch    submission (rear naked choke)                  ufc fight night 10      2  florida , united states
8    win  11 - 5              rich clementi             decision (unanimous)                   ufc fight night 9      3   nevada , united states
9   loss  10 - 5                fabio negao             decision (unanimous)        cla fighting championships 1      3                   brazil
10   win  10 - 4         yoshitomo watanabe  submission (arm triangle choke)                        show fight 5      1                   brazil
11   win   9 - 4              daisuke ishii             decision (unanimous)                  deep : 25th impact      3            tokyo , japan
12  loss   8 - 4  leonardo lucio nascimento            tko (corner stoppage)             wcfc : no guts no glory      1                  england
13   win   8 - 3       gregory bouchelaghem                 decision (split)             wcfc : no guts no glory      3                  england
14   win   7 - 3               matt horwich                 decision (split)             wcfc : no guts no glory      3                  england
15   win   6 - 3             claudio popeye                       submission                 fight for respect 1  n / a                 portugal
16  loss   5 - 3                 ryo chonan                        tko (cut)                  deep : 18th impact      3            tokyo , japan
17   win   5 - 2               paul jenkins    submission (rear naked choke)              shooto : switzerland 2      1              switzerland
18   win   4 - 2               rodrigo ruas                         decision                      afc : brazil 1      3                   brazil
19   win   3 - 2           adriano verdelli      submission (anaconda choke)              meca world vale tudo 9      1  rio de janeiro , brazil
20   win   2 - 2           sebastian borean                       submission  argentina fighting championships 1      1                argentina
21   win   1 - 2             carlos esponja             submission (strikes)              meca world vale tudo 7      1        curitiba , brazil
22  loss   0 - 2             anderson silva  submission (punches and elbows)              meca world vale tudo 6      1        curitiba , brazil
23  loss   0 - 1            marcelo belmiro             decision (unanimous)                            heroes 1      1  rio de janeiro , brazil
