    year                       delegate                         hometown                                pageant                        result                    other awards
0   1971                   nelia sancho         no information available                   queen of the pacific                        winner                            none
1   1971             milagros gutierrez         no information available            miss charming international            second runner - up                            none
2   1972              maria isabel seva         no information available            miss charming international                 did not place                            none
3   1989             maria rita apostol         no information available                      miss flower queen                 did not place                            none
4   1992       sharmaine rama gutierrez            manila , metro manila                       elite model look                 did not place                            none
5   1993            anna maria gonzalez         no information available                       elite model look                 did not place                            none
6   1995        rollen richelle caralde         no information available                       elite model look                 did not place                            none
7   1996        ailleen marfori damiles         las piñas , metro manila  international folklore beauty pageant                top 5 finalist                 miss photogenic
8   1997          joanne zapanta santos          san fernando , pampanga             miss tourism international                        winner                            none
9   2000           rachel muyot soriano         no information available                     miss tourism world            second runner - up               best in long gown
10  2001    maricar manalaysay balagtas                          bulacan               miss globe international                        winner           best national costume
11  2001           michelle cueva reyes     caloocan city , metro manila             miss tourism international                        winner           best national costume
12  2001      zorayda ruth blanco andam                      baguio city                     miss tourism world                      finalist         miss tourism world asia
13  2001  joanna maria mijares peñaloza  mandaluyong city , metro manila                      miss internet www                 did not place                 face of the net
14  2002           kristine reyes alzar                  lipa , batangas             miss tourism international                        winner           best national costume
15  2002    karen loren medrano agustin            manila , metro manila               miss globe international             fifth runner - up                best in swimsuit
16  2002           michelle cueva reyes     caloocan city , metro manila                     miss tourism world                        winner           best national costume
17  2002    margaret - ann awitan bayot                 antipolo , rizal                      miss internet www            second runner - up                            none
18  2003         noella mae evangelista                      iligan city         queen of tourism international                        winner           best national costume
19  2004    karen loren medrano agustin            manila , metro manila                     world coffee queen            second runner - up                            none
20  2004      margaret ann awitan bayot                 antipolo , rizal                      miss maja mundial  first runner - up / virreina                            none
21  2005          jhezarie games javier            manila , metro manila                             miss asean                        winner                            none
22  2006            carlene ang aguilar       quezon city , metro manila                      miss internet www                        winner                            none
23  2009       april love antolo jordan            manila , metro manila                    beauty of the world                        winner                            none
24  2010              mariella castillo                mabini , batangas                       miss global teen        top 12 semi - finalist  teen queen of asia and oceania
25  2011    czarina catherine gatbonton                malolos , bulacan            miss humanity international            second runner - up                            none
