    draw                 language                        artist              english translation  place  points
0      1                  spanish                serafín zubiri                all this is music     14      37
1      2                   french                       morgane                  we want violins     20      11
2      3                   hebrew                   dafna dekel                 it 's just sport      6      85
3      4                  turkish                aylin vatankoş                   summer is over     19      17
4      5                    greek                     cleopatra          the whole world 's hope      5      94
5      6  french , haitian creole                          kali                  go up the river      8      73
6      7                  swedish             christer björkman          tomorrow is another day     22       9
7      8               portuguese                          dina                 fresh water love     17      26
8      9                    greek                      evridiki                    we hit it off     11      57
9     10                  english                  mary spiteri                                -      3     123
10    11                icelandic                 heart 2 heart                        no or yes      7      80
11    12                  finnish                 pave maijanen                                -     23       4
12    13                   french                  daisy auvray                                -     15      32
13    14            luxembourgish     marion welter & kontinent                          so free     21      10
14    15                   german                    tony wegas                      go together     10      63
15    16                  english                  michael ball                                -      2     139
16    17                  english                  linda martin                                -      1     155
17    18                   danish  kenny lübcke & lotte nilsson  all the things that nobody sees     12      47
18    19                  italian                   mia martini                         rhapsody      4     111
19    20                  serbian                    extra nena       i'm kissing you with songs     13      44
20    21                norwegian                 merethe trøan                          visions     18      23
21    22                   german                          wind    dreams are there for everyone     16      27
22    23                    dutch             humphrey campbell                  show me the way      9      67
