     rank         nation  gold  silver  bronze  total
0       1         russia     4       3       2      9
1       2  united states     3       2       1      6
2       3    south korea     3       2       0      5
3       4           cuba     3       1       0      4
4       4          japan     3       1       0      4
5       6         turkey     2       1       2      5
6       7         canada     1       1       1      3
7       8         france     1       1       0      2
8       8     kazakhstan     1       1       0      2
9      10        ukraine     1       0       1      2
10     11        germany     0       3       1      4
11     12          china     0       2       1      3
12     12           iran     0       2       1      3
13     14     uzbekistan     0       1       2      3
14     15         poland     0       1       1      2
15     16       bulgaria     0       0       2      2
16     16         sweden     0       0       2      2
17     18        belarus     0       0       1      1
18     18         greece     0       0       1      1
19     18         israel     0       0       1      1
20     18     kyrgyzstan     0       0       1      1
21     18         norway     0       0       1      1
22  total          total    22      22      22     66
