    draw         televote points             jury points                   total            final points
0      1                       8                       0                       8                       4
1      2                       0                       0                       0                       0
2      3                       0                       4                       4                       1
3      4                       0                       0                       0                       0
4      5                       0                       0                       0                       0
5      6                       1                       0                       1                       0
6      7                       5                      10                      15                       8
7      8                      10                       0                      10                       5
8      9                       0                       2                       2                       0
9     10                       0                       0                       0                       0
10    11                       4                       1                       5                       3
11    12                       0                       3                       3                       0
12    13                       0                       0                       0                       0
13    14                       6                       7                      13                       6
14    15                       0                       0                       0                       0
15    16                       3                       0                       3                       0
16    17                       2                      12                      14                       7
17    18                      12                       6                      18                      12
18    19                       0                       0                       0                       0
19    20                       7                       8                      15                      10
20    21                       0                       5                       5                       2
21    22                       0                       0                       0                       0
22    23  cannot vote for itself  cannot vote for itself  cannot vote for itself  cannot vote for itself
23    24                       0                       0                       0                       0
24    25                       0                       0                       0                       0
