   previous season                        team                town                    arena (capacity)               website         head coach               foreign players (max 2)
0                1  dynamo - tattransgaz kazan               kazan         basket - hall arena (7 000)        wwwdinamottgru  viktor sidelnikov             lloy ball clayton stanley
1                2               dynamo moscow              moscow        dynamo sports palace (5 000)         wwwvcdynamoru    daniele bagnoli    matej černič alan barbosa domingos
2                3                       iskra           odintsovo  volleyball sportiv complex (3 500)       wwwvc - iskraru        zoran gajić                    giba jochen schöps
3                4                       fakel        novy urengoy             csc gazodobytchik (800)      wwwfakelvolleyru      boris kolchin          domotor meszaros thomas hoff
4                5         lokomotiv - izumrud        ekaterinburg              divs uralochka (5 000)    loko - izumrudurru    valeriy alferov          terence martin jason haldane
5                6             dynamo - yantar         kaliningrad                           sc yunost     wwwdinamoyantarru    yuriy panchenko          sean rooney tuomas sammelvuo
6                7             gazprom - yugra  surgutsky district                    sc tennis center    wwwzsk - gazpromru  rafael habibullin             sasa gadnik mahdi hachemi
7                8         lokomotiv belogorie            belgorod        sports palace cosmos (5 000)  wwwbelogorievolleyru   genadiy shipulin           frank depestel samuel fuchs
8                9                        ural                 ufa        foc neftyanik bashkortostana        wwwvolleyufaru     yuriy marichev  loïc thiebaut de kegret renaud herpe
9               10                   lokomotiv         novosibirsk                   skk sever (2 500)       wwwlokovolleyru       pavel borsch            william priddy héctor soto
10        promoted                 yaroslavich           yaroslavl                           sk atlant        wwwyarvolleyru   vladimir babakin        lukas chaves frederick winters
11        promoted            yugra - samotlor       niznevartovsk                        sc neftaynik  wwwugra - samotlorru  yuriy korotkevich             sergey shulga denis chaus
