    round  pick  overall              name          position               college
0       1    11       11       lenny lyles    defensive back            louisville
1       2    11       24      bob stransky          halfback              colorado
2       3    10       35        joe nicely             guard         west virginia
3       4    11       48       les walters               end            penn state
4       5     1       50         ray brown    defensive back           mississippi
5       6     8       69        bob taylor               end            vanderbilt
6       7     6       79     johnny sample    defensive back        maryland state
7       7     9       82        john diehl            tackle              virginia
8       8     8       93      floyd peters  defensive tackle   san francisco state
9       9     9      106    harold bullard          fullback        lenoir - rhyne
10     10     8      117      ray schamber          halfback          south dakota
11     11     9      130      bobby jordan          halfback                   vmi
12     12     8      141     tommy addison        linebacker        south carolina
13     13     9      154  jerry richardson           flanker               wofford
14     14     8      165          ken hall          halfback             texas a&m
15     15     9      178     lester carney          halfback                  ohio
16     16     8      189     archie matsos        linebacker        michigan state
17     17     9      202       james reese       quarterback             minnesota
18     18     8      213        dave lloyd        linebacker               georgia
19     19     9      226        tim murnen             guard         bowling green
20     20     8      237     tom forrestal       quarterback                  navy
21     21     9      250         jim faulk          halfback                   tcu
22     22     8      261         bob mckee               end              monmouth
23     23     9      274      phil parslow          halfback                  ucla
24     24     8      285     bobby sandlin          halfback             tennessee
25     25     9      298     jim roundtree          halfback               florida
26     26     8      309        bob grimes             guard      central michigan
27     27     9      322   george dintiman          halfback            lock haven
28     28     8      333        jim murphy            tackle  east tennessee state
29     29     9      346      doug padgett               end                  duke
30     30     7      356         gary lund             guard            utah state
