    year          nord               west               südwest                   berlin
0   1946             -                  -     1. fc saarbrücken           sg wilmersdorf
1   1947             -                  -  1. fc kaiserslautern        sg charlottenburg
2   1948  hamburger sv  borussia dortmund  1. fc kaiserslautern    union oberschöneweide
3   1949  hamburger sv  borussia dortmund  1. fc kaiserslautern           berliner sv 92
4   1950  hamburger sv  borussia dortmund  1. fc kaiserslautern   tennis borussia berlin
5   1951  hamburger sv      fc schalke 04  1. fc kaiserslautern   tennis borussia berlin
6   1952  hamburger sv  rot - weiss essen     1. fc saarbrücken   tennis borussia berlin
7   1953  hamburger sv  borussia dortmund  1. fc kaiserslautern       sc union 06 berlin
8   1954   hannover 96         1. fc köln  1. fc kaiserslautern           berliner sv 92
9   1955  hamburger sv  rot - weiss essen  1. fc kaiserslautern        bfc viktoria 1889
10  1956  hamburger sv  borussia dortmund  1. fc kaiserslautern        bfc viktoria 1889
11  1957  hamburger sv  borussia dortmund  1. fc kaiserslautern               hertha bsc
12  1958  hamburger sv      fc schalke 04          fk pirmasens   tennis borussia berlin
13  1959  hamburger sv    westfalia herne          fk pirmasens  sc tasmania 1900 berlin
14  1960  hamburger sv         1. fc köln          fk pirmasens  sc tasmania 1900 berlin
15  1961  hamburger sv         1. fc köln     1. fc saarbrücken               hertha bsc
16  1962  hamburger sv         1. fc köln  borussia neunkirchen  sc tasmania 1900 berlin
17  1963  hamburger sv         1. fc köln  1. fc kaiserslautern               hertha bsc
