    rank          nation  gold  silver  bronze  total
0      1           japan     6       5       4     15
1      2     south korea     4       7       3     14
2      3        mongolia     2       2       6     10
3      4           china     2       0       4      6
4      5      kazakhstan     1       1       3      5
5      5      uzbekistan     1       1       3      5
6      7  chinese taipei     0       0       4      4
7      8            iran     0       0       3      3
8      9           india     0       0       2      2
9  total           total    16      16      32     64
