   round  overall                 player    nationality                      club team
0      1       15      mathieu chouinard         canada  shawinigan cataractes (qmjhl)
1      2       44            mike fisher         canada           sudbury wolves (ohl)
2      2       58             chris bala  united states      harvard university (ncaa)
3      3       74        julien vauclair    switzerland           lugano (switzerland)
4      4      101        petr schastlivy         russia     yaroslavl torpedo (russia)
5      5      130           gavin mcleod         canada          kelowna rockets (whl)
6      6      161             chris neil         canada    north bay centennials (ohl)
7      7      188         michel periard         canada  shawinigan cataractes (qmjhl)
8      8      223        sergei verenkin         russia     yaroslavl torpedo (russia)
9      9      246  rastislav pavlikovsky       slovakia           utah grizzlies (ihl)
