     rank          nation  gold  silver  bronze  total
0       1    east germany     7       2       2     11
1       2    soviet union     1       7       1      9
2       3         hungary     3       3       2      8
3       4          sweden     2       1       3      6
4       5      yugoslavia     1       1       0      2
5       6          france     1       0       1      2
6       7     new zealand     1       0       1      2
7       8    west germany     0       2       0      2
8       9          poland     0       1       1      2
9      10         romania     0       0       2      2
10     11  czechoslovakia     1       0       0      1
11     12   united states     1       0       0      1
12     13  united kingdom     0       1       0      1
13     14        bulgaria     0       0       1      1
14     15          canada     0       0       1      1
15     16         denmark     0       0       1      1
16     17           italy     0       0       1      1
17     18     netherlands     0       0       1      1
18  total           total    18      18      18     54
