    pick            player    position    nationality                 nhl team              college / junior / club team
0     57      ray belanger  goaltender         canada  california golden seals                shawinigan dynamos (qmjhl)
1     58     earl anderson  right wing  united states        detroit red wings         university of north dakota (wcha)
2     59      mike mcniven   left wing         canada        vancouver canucks              halifax jr canadians (nsjhl)
3     60       dave murphy  goaltender         canada      pittsburgh penguins         university of north dakota (wcha)
4     61        steve warr     defence         canada           buffalo sabres                clarkson university (ecac)
5     62       gary crosby      centre         canada        los angeles kings  michigan technological university (wcha)
6     63   brian mcbratney     defence         canada    minnesota north stars           st catharines black hawks (oha)
7     64    don mccullouch     defence         canada      philadelphia flyers                niagara falls flyers (oha)
8     65         bob sykes   left wing         canada      toronto maple leafs                     sudbury wolves (noha)
9     66       wayne gibbs     defence         canada           st louis blues                calgary centennials (wchl)
10    67      mike busniuk     defence         canada       montreal canadiens               university of denver (wcha)
11    68        dean blais   left wing  united states      chicago black hawks            university of minnesota (wcha)
12    69  fraser robertson     defence         canada         new york rangers             lethbridge sugar kings (ajhl)
13    70        bert scott      centre         canada            boston bruins                 edmonton oil kings (wchl)
