    stage              winner general classification points classification mountains classification           trofeo fast team
0       1     mario cipollini        mario cipollini       mario cipollini         giuseppe guerini      mercatone uno - saeco
1       2       tony rominger          tony rominger         rolf sørensen         giuseppe guerini           lampre - panaria
2       3     mario cipollini          tony rominger       mario cipollini          mariano piccoli           lampre - panaria
3       4       tony rominger          tony rominger       mario cipollini          mariano piccoli           lampre - panaria
4       5  filippo casagrande          tony rominger       mario cipollini          mariano piccoli                 brescialat
5       6       nicola minali          tony rominger       mario cipollini          mariano piccoli                 brescialat
6       7  maurizio fondriest          tony rominger       mario cipollini          mariano piccoli                 brescialat
7       8    laudelino cubino          tony rominger       mario cipollini          mariano piccoli  mg maglificio - technogym
8       9       rolf sørensen          tony rominger       mario cipollini          mariano piccoli  mg maglificio - technogym
9      10       tony rominger          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
10     11        enrico zaina          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
11     12      pascal richard          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
12     13     oliverio rincón          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
13     14  claudio chiappucci          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
14     15     mariano piccoli          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
15     16   giuseppe citterio          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
16     17       tony rominger          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
17     18       denis zanette          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
18     19      pascal richard          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
19     20  serguei outschakov          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
20     21       evgeni berzin          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
21     22   giovanni lombardi          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
22  final               final          tony rominger         tony rominger          mariano piccoli            gewiss - ballan
