    rank                                stadium  capacity               city         country
0      1  queensland sport and athletics centre     49000           brisbane       australia
1      2            estadio olímpico de sevilla     27200            seville           spain
2      3                         belgrade arena     23000           belgrade          serbia
3      4                             las ventas     21000             madrid           spain
4      5                   royal dublin society      6000             dublin         ireland
5      6                      o2 arena (prague)     17000             prague  czech republic
6      7                       palau sant jordi     16500          barcelona           spain
7      8            estadio mary terán de weiss     14510       buenos aires       argentina
8      9       palacio de deportes de santander     14000          santander           spain
9     10                      memorial coliseum     12000  portland , oregon   united states
10    11                            nokia arena     11700           tel aviv          israel
11    12                      public auditorium     11500          cleveland   united states
12    13                       mediolanum forum     11200              milan           italy
13    14           bill graham civic auditorium      7000      san francisco   united states
14    15                          sibamac arena      4500         bratislava        slovakia
15    16                          idrottens hus      2400        helsingborg          sweden
