         date                      race      country                        winner                    team           world cup leader          leader 's team
0    march 22          milan - san remo        italy         paolo bettini ( ita )  quick step - davitamon      paolo bettini ( ita )  quick step - davitamon
1     april 6      ronde van vlaanderen      belgium     peter van petegem ( bel )            lotto - domo  peter van petegem ( bel )            lotto - domo
2    april 13           paris - roubaix       france     peter van petegem ( bel )            lotto - domo  peter van petegem ( bel )            lotto - domo
3    april 20          amstel gold race  netherlands  alexandre vinokourov ( kaz )            team telekom  peter van petegem ( bel )            lotto - domo
4    april 27  liège - bastogne - liège      belgium        tyler hamilton ( usa )                team csc  peter van petegem ( bel )            lotto - domo
5    august 3            hew cyclassics      germany         paolo bettini ( ita )  quick step - davitamon      paolo bettini ( ita )  quick step - davitamon
6    august 9  clásica de san sebastián        spain         paolo bettini ( ita )  quick step - davitamon      paolo bettini ( ita )  quick step - davitamon
7   august 17           züri - metzgete  switzerland      daniele nardello ( ita )            team telekom      paolo bettini ( ita )  quick step - davitamon
8   october 5             paris - tours       france            erik zabel ( ger )            team telekom      paolo bettini ( ita )  quick step - davitamon
9  october 18         giro di lombardia        italy       michele bartoli ( ita )           fassa bortolo      paolo bettini ( ita )  quick step - davitamon
