    season   level                    division                       administration position
0     2000  tier 2    ykkönen (first division)       finnish fa (suomen pallolitto)      9th
1     2001  tier 3  kakkonen (second division)       finnish fa (suomen pallolitto)     10th
2     2002  tier 4   kolmonen (third division)  turku and åland islands (spl turku)      4th
3     2003  tier 4   kolmonen (third division)  turku and åland islands (spl turku)      1st
4     2004  tier 4   kolmonen (third division)  turku and åland islands (spl turku)      2nd
5     2005  tier 4   kolmonen (third division)  turku and åland islands (spl turku)      4th
6     2006  tier 4   kolmonen (third division)  turku and åland islands (spl turku)      2nd
7     2007  tier 4   kolmonen (third division)  turku and åland islands (spl turku)      1st
8     2008  tier 3  kakkonen (second division)       finnish fa (suomen pallolitto)      8th
9     2009  tier 3  kakkonen (second division)       finnish fa (suomen pallolitto)      9th
10    2010  tier 3  kakkonen (second division)       finnish fa (suomen pallolitto)      7th
11    2011  tier 3  kakkonen (second division)       finnish fa (suomen pallolitto)      8th
12    2012  tier 3  kakkonen (second division)       finnish fa (suomen pallolitto)      1st
