   year    award ceremony                                            category               nominee     result
0  2008        tony award                                        best musical          best musical  nominated
1  2008        tony award                              best book of a musical  douglas carter beane  nominated
2  2008        tony award  best performance by a leading actress in a musical          kerry butler  nominated
3  2008        tony award                                   best choreography         dan knechtges  nominated
4  2008  drama desk award                                 outstanding musical   outstanding musical  nominated
5  2008  drama desk award                       outstanding book of a musical  douglas carter beane        won
6  2008  drama desk award                      outstanding actor in a musical      cheyenne jackson  nominated
7  2008  drama desk award           outstanding featured actress in a musical            mary testa  nominated
8  2008  drama desk award                   outstanding director of a musical    christopher ashley  nominated
9  2008  drama desk award                            outstanding choreography         dan knechtges  nominated
