                            english translation         original album          lyricist (s)           composer (s)  time
0                                    the summer  previously unreleased      giorgos moukidis       giorgos moukidis  3:44
1                                       goodbye  previously unreleased      giorgos moukidis       giorgos moukidis  4:07
2                                     surrender  previously unreleased      giorgos moukidis       giorgos moukidis  4:03
3                         what else will i hear               ena hadi        ilias filippou  kyriakos papadopoulos  3:22
4                                  i'm bleeding                 matono  vasilis giannopoulos        christos dantis  3:33
5                                       nowhere                 matono      giorgos moukidis       giorgos moukidis  4:09
6                                      i'm fine               mazi sou        stelios hronis         stelios hronis  4:03
7                                       meaning                  noima    giorgos theofanous     giorgos theofanous  4:45
8                                      a caress               ena hadi        ilias filippou  kyriakos papadopoulos  3:57
9                                  the last cup      ena (new edition)       christos dantis        christos dantis  4:13
10  you boldnesses and you have complaint , you        vres enan tropo      natalia germanou         petros imvrios  3:31
11                                     you left                 matono      giorgos moukidis       giorgos moukidis  3:58
12                                    don't ask                  noima    giorgos theofanous     giorgos theofanous  4:33
13                                          one                    ena    vicky gerothodorou           takis bougas  3:39
14                                     we lived                    ena        eleana vrahali   dimitris kontopoulos  3:41
15                                          run                 trekse        eleana vrahali        christos dantis  4:02
16                                     with you               mazi sou      giorgos moukidis       giorgos moukidis  3:33
17                                    the paths                 matono    vicky gerothodorou        antonios vardis  5:03
18                                       secret      ena (new edition)      giorgos moukidis       giorgos moukidis  5:44
