    no in series  no in season                             title    directed by                              written by    original air date  production code
0            104             1               going to california  david trainer               jeff filgo & jackie filgo  september 17 , 2002              501
1            105             2           i can't quit you , baby  david trainer                           gregg mettler  september 24 , 2002              502
2            106             3  what is and what should never be  david trainer                              will forte    october 29 , 2002              503
3            107             4                      heartbreaker  david trainer                          kristin newman    october 29 , 2002              504
4            108             5                         ramble on  david trainer                            philip stark   november 12 , 2002              505
5            109             6       over the hills and far away  david trainer            bryan moore & chris peterson   november 19 , 2002              506
6            110             7                           hot dog  david trainer                           rob des hotel   november 26 , 2002              507
7            111             8                         thank you  david trainer                             dean batali    december 3 , 2002              508
8            112             9                         black dog  david trainer                              mark hudis   december 10 , 2002              509
9            113            10                        the crunge  david trainer                             dave schiff   december 17 , 2002              510
10           115            12                misty mountain hop  david trainer                             dave schiff    january 22 , 2003              512
11           116            13           your time is gonna come  david trainer  jackie filgo & jeff filgo & will forte    january 29 , 2003              513
12           117            14          babe i'm gonna leave you  david trainer                          kristin newman    february 5 , 2003              514
13           118            15             when the levee breaks  david trainer                             dean batali   february 12 , 2003              515
14           119            16                  whole lotta love  david trainer                            philip stark   february 19 , 2003              516
15           120            17            the battle of evermore  david trainer                           rob des hotel   february 26 , 2003              517
16           121            18         hey , hey , what can i do  david trainer                              mark hudis      march 12 , 2003              518
17           122            19                  bring it on home  david trainer            chris peterson & bryan moore      march 26 , 2003              519
18           123            20                        no quarter  david trainer                             dean batali       april 2 , 2003              520
19           124            21               trampled under foot  david trainer                            philip stark       april 9 , 2003              521
20           125            22                      you shook me  david trainer                          kristin newman      april 16 , 2003              522
21           126            23          nobody 's fault but mine  david trainer                              mark hudis      april 23 , 2003              523
22           127            24                    immigrant song  david trainer                           rob des hotel         may 7 , 2003              524
