                             race          date          location            pole position       fastest lap              race winner      constructor  report
0            argentine grand prix    13 january      buenos aires               alan jones        alan jones               alan jones  williams - ford  report
1            brazilian grand prix    27 january        interlagos  jean - pierre jabouille       rené arnoux              rené arnoux          renault  report
2        south african grand prix       1 march           kyalami  jean - pierre jabouille       rené arnoux              rené arnoux          renault  report
3   united states grand prix west      30 march        long beach            nelson piquet     nelson piquet            nelson piquet   brabham - ford  report
4              belgian grand prix         4 may            zolder               alan jones   jacques laffite            didier pironi    ligier - ford  report
5               monaco grand prix        18 may            monaco            didier pironi  carlos reutemann         carlos reutemann  williams - ford  report
6               french grand prix       29 june       paul ricard          jacques laffite        alan jones               alan jones  williams - ford  report
7              british grand prix       13 july      brands hatch            didier pironi     didier pironi               alan jones  williams - ford  report
8               german grand prix     10 august    hockenheimring               alan jones        alan jones          jacques laffite    ligier - ford  report
9             austrian grand prix     17 august    österreichring              rené arnoux       rené arnoux  jean - pierre jabouille          renault  report
10               dutch grand prix     31 august         zandvoort              rené arnoux       rené arnoux            nelson piquet   brabham - ford  report
11             italian grand prix  14 september             imola              rené arnoux        alan jones            nelson piquet   brabham - ford  report
12            canadian grand prix  28 september  île notre - dame            nelson piquet     didier pironi               alan jones  williams - ford  report
13       united states grand prix     5 october      watkins glen         bruno giacomelli        alan jones               alan jones  williams - ford  report
