                    driver     constructor  laps  time / retired  grid
0               jacky ickx         ferrari    65       1:53:28.3     3
1           clay regazzoni         ferrari    65         + 24.64     1
2              denny hulme  mclaren - ford    65         + 45.97    14
3               chris amon    march - ford    65         + 47.05     5
4   jean - pierre beltoise           matra    65         + 50.11     6
5          pedro rodriguez             brm    65       + 1:24.76     7
6            jackie oliver             brm    64         + 1 lap    13
7             john surtees  surtees - ford    64         + 1 lap    15
8          henri pescarolo           matra    61        + 4 laps    11
9             reine wisell    lotus - ford    56  not classified    12
10            jack brabham  brabham - ford    52          engine     4
11          jackie stewart  tyrrell - ford    33      suspension     2
12            peter gethin  mclaren - ford    27          engine    10
13          rolf stommelen  brabham - ford    15     fuel system    17
14        franã§ois cevert    march - ford     8          engine     9
15             graham hill    lotus - ford     4     overheating     8
16              jo siffert    march - ford     3          engine    16
17      emerson fittipaldi    lotus - ford     1          engine    18
