           year                         driver / s              class                   vehicle                    race title
0          1961  lorenzo bandini giorgio scarlatti         sports car            ferrari 250tri            1961 4h testa rosa
1          1960                        denny hulme        formula two          cooper t52 - bmc   xxvi gran premio di pescara
2   1958 - 1959                           not held           not held                  not held                      not held
3          1957                      stirling moss        formula one               vanwall vw5       xxv circuito di pescara
4          1956                      robert manzon         sports car              gordini t15s   xxiv gran premio di pescara
5          1955                           not held           not held                  not held                      not held
6          1954                        luigi musso  formula one / two             maserati 250f  xxiii gran premio di pescara
7          1953     umberto maglioli mike hawthorn         sports car            ferrari 375 mm    2 degree 12 ore di pescara
8          1952     giovanni bracco paolo marzotto         sports car              ferrari 250s    1 degree 12 ore di pescara
9          1951              josé froilán gonzález        formula one               ferrari 375        xx circuito di pescara
10         1950                 juan manuel fangio        formula one            alfa romeo 158       xix circuito di pescara
11         1949                         franco rol         sports car     alfa romeo 6c 2500 ss     xviii circuito di pescara
12         1948                    giovanni bracco         sports car           maserati a6 gcs      xvii circuito di pescara
13         1947                 vincenzo auricchio         sports car  stanguellini - fiat 1100       xvi circuito di pescara
14  1940 - 1946                           not held           not held                  not held                      not held
15         1939                 clemente biondetti         voiturette            alfa romeo 158               xv coppa acerbo
16         1938                  rudolf caracciola         grand prix      mercedes - benz w154              xiv coppa acerbo
17         1937                    bernd rosemeyer         grand prix          auto union c typ             xiii coppa acerbo
18         1936                    bernd rosemeyer         grand prix          auto union c typ              xii coppa acerbo
19         1935                      achille varzi         grand prix          auto union b typ               xi coppa acerbo
20         1934                      luigi fagioli         grand prix       mercedes - benz w25                x coppa acerbo
21         1933                      luigi fagioli         grand prix  alfa romeo tipo - b 'p3'               ix coppa acerbo
22         1932                     tazio nuvolari         grand prix  alfa romeo tipo - b 'p3'             viii coppa acerbo
23         1931                   giuseppe campari         grand prix         alfa romeo tipo a              vii coppa acerbo
24         1930                      achille varzi         grand prix             maserati 26 m               vi coppa acerbo
25         1929                   giuseppe campari         grand prix             alfa romeo p2                v coppa acerbo
26         1928                           not held           not held                  not held                      not held
27         1927                   giuseppe campari         grand prix             alfa romeo p2               iv coppa acerbo
28         1926                     luigi spinozzi         grand prix               bugatti t35              iii coppa acerbo
29         1925                      guido ginaldi         grand prix             alfa romeo rl               ii coppa acerbo
30         1924                       enzo ferrari         grand prix             alfa romeo rl                i coppa acerbo
