   rank              name           years  matches  goals
0     1  roberto dinamite     1971 - 1989      328    190
1     2           romário     1986 - 2008      252    154
2     3           edmundo     1990 - 2008      316    153
3     4              zico     1974 - 1989      249    135
4     5             túlio     1987 - 2001      240    129
5     6  serginho chulapa     1975 - 1988      184    127
6     7        washington     1997 - 2010      201    125
7     8    dadá maravilha     1971 - 1985      240    113
8     9    kléber pereira  1999 - present      195    103
9    10             ramon  1990 - present      368     98
