   round                                                   race                        circuit          date        event                     winning driver                                   winning team
0      1            int adac - sparkassenpreises für automobile                    sachsenring         9 may  sprint race        christian abt christian abt                  abt sportsline abt sportsline
1      2                           adac - preis flugplatzrennen                    zweibrücken        23 may  sprint race        christian abt christian abt                  abt sportsline abt sportsline
2      3  int adac - preis der tourenwagen von sachsen - anhalt  motorsport arena oschersleben       20 june  sprint race                uwe alzen uwe alzen  warsteiner team holzer warsteiner team holzer
3      4             57. int adac norisring - speedweekend 1999                      norisring        4 july  sprint race            uwe alzen manuel reuter  warsteiner team holzer warsteiner team holzer
4      5                             int adac gold - cup misano           misano world circuit      8 august  sprint race  fabrizio giovanardi christian abt                      alfa corse abt sportsline
5      6                      adac großer preis der tourenwagen                    nürburgring     22 august  sprint race       manuel reuter tom kristensen  warsteiner team holzer jas - team honda sport
6      7                                  int adac alpentrophäe                   salzburgring   5 september  sprint race                uwe alzen uwe alzen  warsteiner team holzer warsteiner team holzer
7      8                     int adac - preis von niedersachsen                   oschersleben  19 september  sprint race      gabriele tarquini eric hélary         jas - team honda sport tnt team holzer
8      9                            int adac - preis hockenheim                 hockenheimring     3 october  sprint race         kris nissen tom kristensen          abt sportsline jas - team honda sport
9     10                          26. adac bilstein supersprint                    nürburgring    17 october  sprint race           uwe alzen tom kristensen  warsteiner team holzer jas - team honda sport
