             player  starts  cuts made     best finish  money list rank  earnings
0       brian davis      23         15              t3               98    854460
1       rob rashell      25          6             t39              219     84391
2      danny briggs      29          7              t9              208    148836
3      paul claxton      29         11             t15              183    269701
4       sean o'hair      29         24             win               18   2461482
5      bill glasson      21          7             t18              214    108426
6         greg owen      24         19               3               57   1352878
7      john elliott      25          6             t39              221     67819
8   roland thatcher      26         12              t8              173    326299
9        jason bohn      28         18             win               35   1888568
10       d j trahan      28         14  9 / t9 (twice)              103    806304
11    matt davidson      20          6             t14              218     98906
12     jason allred      29          8             t17              204    176436
13      d j brigman      26         12             t12              177    294849
14    phillip price      25         13              11              157    419415
15      dean wilson      27         17               6              102    821903
16     carl paulson      13          6             t13              195    198214
17     jeff brehaut      23         13               3               61   1271061
18  joey snyder iii      31         20               4               72   1042696
19       jim carter      25          6             t26              216    104138
20  hideto tanihara      20          6             t31              224     62832
21    mario tiziani      23         11             t12              200    181618
22      omar uresti      27         16              t6              136    538238
23       bob heintz      24          9              t5              171    355488
24      david hearn      24         10              13              196    197453
25     craig barlow      26         15              t8              112    720362
26      doug barron      24         11              t3              110    731190
27       tom gillis      28         12             t11              156    421050
28      mark wilson      25         12              t3              133    573218
29     lucas glover      28         16             win               30   2050068
30       charlie wi      23         11              t5              186    250081
31        jeff hart      23         13             t25              209    135165
32       scott hend      28          9              t6              170    356427
33        j p hayes      22         10              t2              138    531704
