                  grand prix       pole position         fastest lap      winning driver         constructor  report
0      australian grand prix  michael schumacher  michael schumacher  michael schumacher             ferrari  report
1       malaysian grand prix  michael schumacher  juan pablo montoya  michael schumacher             ferrari  report
2         bahrain grand prix  michael schumacher  michael schumacher  michael schumacher             ferrari  report
3      san marino grand prix       jenson button  michael schumacher  michael schumacher             ferrari  report
4         spanish grand prix  michael schumacher  michael schumacher  michael schumacher             ferrari  report
5          monaco grand prix        jarno trulli  michael schumacher        jarno trulli             renault  report
6        european grand prix  michael schumacher  michael schumacher  michael schumacher             ferrari  report
7        canadian grand prix     ralf schumacher  rubens barrichello  michael schumacher             ferrari  report
8   united states grand prix  rubens barrichello  rubens barrichello  michael schumacher             ferrari  report
9          french grand prix     fernando alonso  michael schumacher  michael schumacher             ferrari  report
10        british grand prix      kimi räikkönen  michael schumacher  michael schumacher             ferrari  report
11         german grand prix  michael schumacher      kimi räikkönen  michael schumacher             ferrari  report
12      hungarian grand prix  michael schumacher  michael schumacher  michael schumacher             ferrari  report
13        belgian grand prix        jarno trulli      kimi räikkönen      kimi räikkönen  mclaren - mercedes  report
14        italian grand prix  rubens barrichello  rubens barrichello  rubens barrichello             ferrari  report
15        chinese grand prix  rubens barrichello  michael schumacher  rubens barrichello             ferrari  report
16       japanese grand prix  michael schumacher  rubens barrichello  michael schumacher             ferrari  report
17      brazilian grand prix  rubens barrichello  juan pablo montoya  juan pablo montoya      williams - bmw  report
