      train no                                 train name                 origin           destination      frequency
0   12067 / 68  guwahati jorhat town jan shatabdi express               guwahati                jorhat  except sunday
1   12345 / 46                          saraighat express        howrah junction              guwahati          daily
2   12235 / 36                 dibrugarh rajdhani express              dibrugarh             new delhi         weekly
3   12423 / 24                 dibrugarh rajdhani express         dibrugarh town             new delhi          daily
4   12435 / 36                 dibrugarh rajdhani express         dibrugarh town             new delhi      bi weekly
5   12501 / 02          poorvottar sampark kranti express               guwahati             new delhi     tri weekly
6   12505 / 06                         north east express               guwahati  anand vihar terminal          daily
7   12507 / 08                guwahati trivandrum express               guwahati            trivandrum         weekly
8   12509 / 10                 guwahati bangalore express               guwahati             bangalore     tri weekly
9   12513 / 14              guwahati secunderabad express  secunderabad junction              guwahati         weekly
10  12515 / 16                         trivandrum express     trivandrum central              guwahati         weekly
11  12517 / 18        kolkata guwahati garib rath express                kolkata              guwahati      bi weekly
12  12525 / 26                             dihing express                kolkata             dibrugarh         weekly
13  14055 / 56                           brahmaputra mail              dibrugarh        delhi junction          daily
14  15603 / 04           kamakhya ledo inter city express               kamakhya                  ledo          daily
15  15605 / 06        kamakhya mariani inter city express               kamakhya               mariani          daily
16  15609 / 10                        avadh assam express               guwahati               lalgarh          daily
17  15629 / 30                     chennai egmore express                chennai              guwahati         weekly
18  15631 / 32                  barmer - guwahati express                 barmer              guwahati      bi weekly
19  15635 / 36                             dwarka express                   okha              guwahati         weekly
20  15639 / 40                    puri - guwahati express                   puri              guwahati         weekly
21  15645 / 46              mumbai ltt - guwahati express             mumbai ltt              guwahati      bi weekly
22  15647 / 48              mumbai ltt - guwahati express                 mumbai              guwahati         weekly
23  15651 / 52                              lohit express               guwahati            jammu tawi         weekly
24  15653 / 54                           amarnath express               guwahati            jammu tawi         weekly
25  15657 / 58                       kanchanjunga express                sealdah              guwahati          daily
26  15665 / 66                                 bg express               kamakhya               dimapur          daily
27  15901 / 02              yeshvantpur dibrugarh express            yeshvantpur             dibrugarh         weekly
28  15903 / 04               dibrugarh chandigarh express              dibrugarh            chandigarh         weekly
29  15905 / 06        dibrugarh kanyakumari vivek express              dibrugarh           kanyakumari         weekly
30  15929 / 30           chennai egmore dibrugarh express         chennai egmore             dibrugarh         weekly
31  15933 / 34                 dibrugarh amritsar express              dibrugarh              amritsar         weekly
32  15941 / 42                   jhajha dibrugarh express                 jhajha             dibrugarh         weekly
33  15959 / 60                             kamrup express                 howrah             dibrugarh          daily
34       25610                       jivachh link express              darbhanga              guwahati          daily
