    rank                       nation  gold  silver  bronze  total
0      1                      romania    14       7       5     26
1      2                       france    13      11      18     42
2      3                       canada    12       7      16     35
3      4                       poland    10       4       7     21
4      5                      morocco     8       6       7     21
5      6                        egypt     4       4       4     12
6      7                    mauritius     4       3       2      9
7      8                       quebec     2       7       7     16
8      9                      tunisia     2       3       4      9
9     10                   madagascar     1       4       2      7
10    11                     cameroon     1       3       5      9
11    12                  ivory coast     1       3       1      5
12    13  french community of belgium     1       1       2      4
13    14                        haiti     1       1       1      3
14    14                      senegal     1       1       1      3
15    16                         chad     1       1       0      2
16    17                        gabon     1       0       1      2
17    18                    lithuania     0       5       6     11
18    19               czech republic     0       3       3      6
19    20                   luxembourg     0       2       2      4
20    21                new brunswick     0       1       1      2
21    22                 burkina faso     0       0       2      2
22    22                  switzerland     0       0       2      2
23    24                        benin     0       0       1      1
24    24                     bulgaria     0       0       1      1
25    24     central african republic     0       0       1      1
26    24                     cambodia     0       0       1      1
