        rank          nation  gold  silver  bronze
0          1          greece    19       5       1
1          2           italy    13      14      10
2          3         romania    13       3       6
3          4         germany    10      11       7
4          5         ukraine     9       2       9
5          6  czech republic     8       8       7
6          7       lithuania     6       2       1
7          8          france     6       0       7
8          9         belarus     5       5       7
9         10          poland     4      16       5
10        11         estonia     3       3       1
11        12          serbia     2       7       8
12        13          russia     2       6       4
13        14     netherlands     2       4       5
14        15         denmark     2       3       0
15        16         croatia     1       3       5
16        17         austria     1       3       1
17        18     switzerland     1       1       4
18        19        bulgaria     1       0       2
19        20         hungary     1       0       2
20        21  united kingdom     0       4       4
21        22        portugal     0       3       2
22        23           spain     0       1       3
23        24          norway     0       1       2
24        24          sweden     0       1       2
25        26        slovakia     0       1       1
26        27         belgium     0       1       0
27        27         finland     0       1       0
28        29        slovenia     0       0       1
29  || total             109   109     107     325
