     region                             host                                 venue            city           state
0      east            university of georgia  georgia coliseum (stegeman coliseum)          athens         georgia
1      east  north carolina state university                     reynolds coliseum         raleigh  north carolina
2      east        university of connecticut               harry a gampel pavilion          storrs     connecticut
3      east        louisiana tech university                thomas assembly center          ruston       louisiana
4   mideast          university of tennessee               thompson - boling arena       knoxville       tennessee
5   mideast                purdue university                          mackey arena  west lafayette         indiana
6   mideast            texas tech university                   united spirit arena         lubbock           texas
7   mideast                xavier university                         cintas center      cincinnati            ohio
8   midwest         university of notre dame                 edmund p joyce center      notre dame         indiana
9   midwest            vanderbilt university                    memorial gymnasium       nashville       tennessee
10  midwest            iowa state university                       hilton coliseum            ames            iowa
11  midwest               university of utah                 jon m huntsman center  salt lake city            utah
12     west           university of oklahoma                    lloyd noble center          norman        oklahoma
13     west               rutgers university           louis brown athletic center      piscataway      new jersey
14     west            university of florida                      o'connell center     gainesville         florida
15     west                  duke university                cameron indoor stadium          durham  north carolina
