     rank          nation  gold  silver  bronze  total
0       1    soviet union     9       2       6     17
1       2   united states     3       7       0     10
2       3           japan     3       2       2      7
3       4           china     3       1       0      4
4       5         germany     3       0       1      4
5       6          france     2       1       3      6
6       7            cuba     2       1       2      5
7       8            iran     1       1       1      3
8       8     south korea     1       1       1      3
9      10       venezuela     1       0       2      3
10     11         hungary     1       0       1      2
11     12        bulgaria     0       2       3      5
12     12          norway     0       2       3      5
13     14  czechoslovakia     0       2       0      2
14     14          sweden     0       2       0      2
15     16          canada     0       1       1      2
16     16          turkey     0       1       1      2
17     18          greece     0       1       0      1
18     18           italy     0       1       0      1
19     18     north korea     0       1       0      1
20     21         finland     0       0       1      1
21     21      yugoslavia     0       0       1      1
22  total           total    29      29      29     87
