   rank                   name                    team  games  rebounds
0     1      maksim krivosheev  sibirtelecom lokomotiv     23       157
1     2        andrey trushkin          csk vss samara     23       142
2     3     aleksandr savenkov             universitet     23       134
3     4          kelly mccarty                  khimki     22       123
4     5     viktor dubovitskiy  sibirtelecom lokomotiv     22       107
5     6  stanislav makshantsev        spartak primorje     24       112
6     7        aleksey zozulin              ural great     24        98
7     8       fedor likholitov       triumph lyubertsy     24        96
8     9    alexander dedushkin              ural great     12        48
9    10           sergei monia           dynamo moscow     23        90
