   year             date                                         event    days    stages       acts
0  2001          23 june                         rock & blues festival  2 days   1 stage    6 bands
1  2001          14 july                            a day at the races   1 day   1 stage    5 bands
2  2002           25 may                                  ozzfest 2002   1 day  2 stages   24 bands
3  2003  31 may - 1 june  download festival ft deconstruction festival  2 days  2 stages   57 bands
4  2004       5 - 6 june                             download festival  2 days  3 stages   73 bands
5  2005     10 - 12 june                download festival with ozzfest  3 days  3 stages   99 bands
6  2006      9 - 11 june                             download festival  3 days  4 stages  106 bands
7  2007      8 - 10 june                             download festival  3 days  3 stages  101 bands
8  2008     13 - 15 june                             download festival  3 days  3 stages  100 bands
9  2009     14 - 16 june                             download festival  3 days  4 stages  132 bands
