    rnd       circuit                           lmp winning team                             lmpc winning team                           gt winning team                         gtc winning team  results
0     1       sebring                      07 team peugeot total                        55 level 5 motorsports                      62 risi competizione                       81 alex job racing  results
1     1       sebring  marc gené alexander wurz anthony davidson  scott tucker christophe bouchut mark wilkins  jaime melo gianmaria bruni pierre kaffer  butch leitzinger leh keen juan gonzález  results
2     2    long beach                  1 patrón highcroft racing                    99 green earth team gunnar              45 flying lizard motorsports                       81 alex job racing  results
3     2    long beach               david brabham simon pagenaud                 gunnar jeannette elton julian             patrick long jörg bergmeister           butch leitzinger juan gonzález  results
4     3   laguna seca                  1 patrón highcroft racing                        55 level 5 motorsports              45 flying lizard motorsports                     54 black swan racing  results
5     4        miller                  1 patrón highcroft racing                        55 level 5 motorsports                      62 risi competizione                     54 black swan racing  results
6     4        miller               david brabham simon pagenaud               scott tucker christophe bouchut                jaime melo gianmaria bruni            tim pappas jeroen bleekemolen  results
7     5     lime rock               6 muscle milk team cytosport                    99 green earth team gunnar              45 flying lizard motorsports                                   63 trg  results
8     5     lime rock                    greg pickett klaus graf                 gunnar jeannette elton julian             jörg bergmeister patrick long                 henri richard andy lally  results
9     6    mid - ohio                            16 dyson racing                        55 level 5 motorsports                      62 risi competizione                     54 black swan racing  results
10    6    mid - ohio                      chris dyson guy smith               scott tucker christophe bouchut                jaime melo gianmaria bruni            tim pappas jeroen bleekemolen  results
11    7  road america                           8 drayson racing                    99 green earth team gunnar             90 bmw rahal letterman racing                     54 black swan racing  results
12    7  road america                  paul drayson jonny cocker                 gunnar jeannette elton julian                     dirk müller joey hand            tim pappas jeroen bleekemolen  results
13    8       mosport               6 muscle milk team cytosport                    99 green earth team gunnar              45 flying lizard motorsports                     88 velox motorsports  results
14    8       mosport                    romain dumas klaus graf                 gunnar jeannette elton julian             patrick long jörg bergmeister            shane lewis lawson aschenbach  results
15    9  road atlanta                      08 team peugeot total                        95 level 5 motorsports                         4 corvette racing                                   63 trg  results
