    year                      winner                   finalist                 result               city                              stadium
0   1991  wernigeröder sv rot - weiß            sv merseburg 99              3 - 2 aet           bernburg                   sportplatz askania
1   1992   fsv lok / altmark stendal           fc anhalt dessau                  2 - 0            gommern                   sportforum gommern
2   1993             1. fc magdeburg              hallescher fc                  3 - 2          hettstedt        sportpark am walzwerkhölzchen
3   1994               hallescher fc             1.fc magdeburg                  4 - 3              thale  sportpark an der neinstedter straße
4   1995   fsv lok / altmark stendal           fc anhalt dessau                  4 - 1  schönebeck (elbe)      sportforum an der barbarastraße
5   1996   fsv lok / altmark stendal               vfl halle 96                  3 - 0            gommern                   sportforum gommern
6   1997                vfl halle 96       schönebecker sv 1861              4 - 2 aet             köthen                stadion rüsternbreite
7   1998             1. fc magdeburg  fsv lok / altmark stendal                  4 - 1             dessau                 paul greifzu stadium
8   1999                vfl halle 96           fc anhalt dessau                  3 - 2             dessau                 paul greifzu stadium
9   2000          1. fc magdeburg ii               vfl halle 96                  3 - 2             dessau                 paul greifzu stadium
10  2001             1. fc magdeburg          vfb imo merseburg                  3 - 0             dessau                 paul greifzu stadium
11  2002               hallescher fc      fc grün - weiß wolfen                  3 - 1             dessau                 paul greifzu stadium
12  2003             1. fc magdeburg           1.fc lok stendal                  2 - 0             dessau                 paul greifzu stadium
13  2004                  tsv völpke               sv dessau 05                  3 - 2             dessau                 paul greifzu stadium
14  2005   magdeburger sv 90 preußen      vfb 1906 sangerhausen  4 - 2 after penalties             dessau                 paul greifzu stadium
15  2006             1. fc magdeburg             sv 09 staßfurt                  1 - 0  schönebeck (elbe)      sportforum an der barbarastraße
16  2007          1. fc magdeburg ii  magdeburger sv 90 preußen                  3 - 0          magdeburg                    stadion magdeburg
17  2008               hallescher fc            1. fc magdeburg     0 - 0 (4 - 3 pen )          magdeburg                    stadion magdeburg
18  2009             1. fc magdeburg              hallescher fc                  1 - 0          magdeburg                    stadion magdeburg
19  2010               hallescher fc   vfb germania halberstadt                  3 - 2       sangerhausen                       friesenstadion
20  2011               hallescher fc  fc grün - weiß piesteritz                  2 - 0             dessau                 paul greifzu stadium
21  2012               hallescher fc            haldensleber sc                  4 - 0             dessau                 paul greifzu stadium
22  2013             1. fc magdeburg   vfb germania halberstadt              3 - 1 aet          magdeburg                         mdcc - arena
