                   player  games played  rebounds  assists  steals  blocks  points
0          sheryl swoopes            31       183      115      64       9     482
1           michelle snow            34       269       47      33      38     442
2           tina thompson            21       118       47      20      13     392
3             dawn staley            34        75      133      35       5     250
4          roneeka hodges            33        65       32      16       4     247
5         dominique canty            15        52       44      17       0     164
6           tamecka dixon            23        60       54      13       2     162
7           sancho lyttle            29       114        8      25       4     106
8         mistie williams            27        64       16      11       3      79
9       anastasia kostaki            32        25       19       7       0      67
10          tari phillips            21        47        4       9       5      59
11  astou ndiaye - diatta            11        30        8       1       1      35
12      kayte christensen             6        19        4       0       0      18
