     res       record                  opponent                             method                                              event  round                                     location
0   loss  15 - 10 (2)      vladimir matyushenko               decision (unanimous)                                        bellator 99      3        temecula , california , united states
1    win   15 - 9 (2)             chuck grigsby                         ko (punch)                   victory fighting championship 40      4           ralston , nebraska , united states
2    win   14 - 9 (2)               dennis reed                      tko (punches)                   victory fighting championship 39      1           ralston , nebraska , united states
3   loss   13 - 9 (2)            jan błachowicz               decision (unanimous)                                             ksw xx      3                              gdańsk , poland
4   loss   13 - 8 (2)              gilbert yvel                         ko (punch)                           rfa 2: yvel vs alexander      1           kearney , nebraska , united states
5   loss   13 - 7 (2)               steve bossé                         ko (elbow)                                     instinct mma 1      2                   montreal , quebec , canada
6    win   13 - 6 (2)         razak al - hassan              tko (doctor stoppage)                            mma fight pit : genesis      2     albuquerque , new mexico , united states
7    win   12 - 6 (2)               brian albin              tko (doctor stoppage)         caged in the coliseum : albin vs alexander      3        jackson , mississippi , united states
8    win   11 - 6 (2)  rameau thierry sokoudjou                      tko (punches)                                    shark fights 13      2             amarillo , texas , united states
9    win   10 - 6 (2)             david griffin               decision (unanimous)                   ufa 1: the clash at the coliseum      3  charleston , south carolina , united states
10    nc    9 - 6 (2)           justin grizzard                      nc (eye poke)                  extreme challenge : the aftermath      2        council bluffs , iowa , united states
11  loss    9 - 6 (1)              joey beltran                      tko (punches)  5150 combat league / xfl : new year 's revolution      2             tulsa , oklahoma , united states
12  loss    9 - 5 (1)               kimbo slice               decision (unanimous)         the ultimate fighter : heavyweights finale      3           las vegas , nevada , united states
13   win    9 - 4 (1)       sherman pendergarst        tko (leg kicks and punches)                adrenaline mma iv : sylvia vs riley      1        council bluffs , iowa , united states
14  loss    8 - 4 (1)              eric schafer  submission (arm - triangle choke)                     ufc fight night : diaz vs neer      1             omaha , nebraska , united states
15  loss    8 - 3 (1)               james irvin                       ko (punches)                                 ufc fight night 13      1        broomfield , colorado , united states
16  loss    8 - 2 (1)              thiago silva                      tko (punches)                                             ufc 78      1          newark , new jersey , united states
17   win    8 - 1 (1)            alessio sakara             tko (knee and punches)                                             ufc 75      1            london , england , united kingdom
18   win    7 - 1 (1)             keith jardine             ko (punches and knees)                                             ufc 71      1           las vegas , nevada , united states
19    nc    6 - 1 (1)                todd allee                 nc (illegal knees)                               extreme challenge 76      1                 sloan , iowa , united states
20   win        6 - 1                jon murphy                      tko (punches)                               extreme challenge 76      1                 sloan , iowa , united states
21   win        5 - 1            demian decorah               decision (unanimous)                             downtown destruction 1      5            des moines , iowa , united states
22   win        4 - 1           brandon quigley                      tko (punches)                                   judgment night 2      1            des moines , iowa , united states
23   win        3 - 1             justin butler                       ko (punches)                                      gladiators 20      1            des moines , iowa , united states
24   win        2 - 1              chuck purdow               submission (punches)                                      gladiators 17      1          hastings , nebraska , united states
25   win        1 - 1                jamie webb               submission (punches)                                      gladiators 16      1            des moines , iowa , united states
26  loss        0 - 1              jason medina    submission (arm triangle choke)                               extreme challenge 40      2       springfield , illinois , united states
