    round  overall          player          position       school / club team
0       1       12   clay matthews        linebacker                      usc
1       1       23   ozzie newsome         tight end                  alabama
2       2       39    johnny evans            punter     north carolina state
3       3       67   larry collins      running back                texas a&i
4       3       68     mark miller       quarterback            bowling green
5       4      103    pete pullara   offensive guard  tennessee - chattanooga
6       5      122    keith wright     wide receiver               memphis st
7       6      149        al pitts            center           michigan state
8       8      205   jesse turnbow  defensive tackle                tennessee
9       9      234      jon kramer             guard                   baylor
10     10      261    brent watson  offensive tackle                tennessee
11     11      290   larry gillard  defensive tackle        mississippi state
12     12      317  leo biedermann  offensive tackle               california
